,Tên sản phẩm,Giá tiền,thương hiệu,số hiệu sản phẩm,xuất xứ,giới tính,kính,máy,bảo hành quốc tế,bảo hành tại hải triều,đường kính mặt số,bề dày mặt số,niềng,dây đeo,màu mặt số,chống nước,chức năng,nơi sản xuất
89,Fossil,4.100.000,Fossil,FS5499,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Xanh,5 ATM,,Trung Quốc
90,Casio,4.763.000,Casio,SHE-4056PG-4AUDF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,30 mm,7.3 mm,,,Vàng,5 ATM,Lịch Ngày,Trung Quốc
91,Tissot,12.600.000,Tissot,T063.210.22.037.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,33 mm,7.3 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
92,Casio,3.529.000,Casio,EFV-570D-2AVUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,43.8 mm,11.6 mm,,,Xanh,10 ATM,Lịch Ngày – Chronograph,Trung Quốc
93,Saga,7.120.000,Saga,53229-SVMWSV-9,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,20 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,3 ATM,,Trung Quốc
94,Citizen,11.950.000,Citizen,NJ0090-81A,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),1 Năm,5 Năm,42 mm,10.6 mm,Titanium,Titanium,Trắng,3 ATM,Lịch Ngày,Trung Quốc
95,OP,3.380.000,Olym Pianus (Olympia Star),58070LK-D,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,30 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,,
96,Casio,1.892.000,Casio,LA680WGA-9BDF,Nhật Bản,Nữ,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,33.5 x 28.6 mm,8.6 mm,,,Đen,3 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
97,Citizen,3.785.000,Citizen,EQ0591-81E,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,27 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,Lịch Ngày – Lịch Thứ,
98,Daniel,5.195.000,Daniel Wellington,DW00100058,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,36 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Trung Quốc
99,Rado,68.375.000,Rado,R32105313,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,12.3 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,30 ATM,Lịch Ngày,Thụy Sỹ
100,Certina,13.180.000,Certina,C033.051.22.128.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,27 mm,7.4 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Xà Cừ,10 ATM,Lịch Ngày,
101,Citizen,7.385.000,Citizen,AW0084-81A,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,42 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
102,SR,2.250.000,SR,SL1901.1401TE,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,30 mm,6.15 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
103,Citizen,9.685.000,Citizen,BM6970-52A,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,40.2 mm,8.4 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
104,Casio,2.177.000,Casio,MTP-1375D-1AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,42mm,9.7 mm,,,Đen,5 ATM,Lịch Ngày – Lịch Thứ – Đồng hồ 24 giờ,Trung Quốc
105,Orient,4.520.000,Orient,FGW0100FW0,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,38mm,6mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,Lịch Ngày,Trung Quốc
106,Saga,6.384.000,Saga,53229-SVMWSV-5,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,20 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,3 ATM,,Trung Quốc
107,Casio,3.529.000,Casio,EFV-C100D-1AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,46.6 mm,14.2 mm,,,Đen,10 ATM,Lịch Ngày – Lịch Thứ – Các Chức Năng Khác,Trung Quốc
108,Seiko,7.600.000,Seiko,SUR460P1,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40.2 mm,8.3 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,Lịch Ngày,
109,Doxa,141.570.000,Doxa (Phiên bản giới hạn 1000 chiếc trên toàn thế giới),D128RWH,Thụy Sỹ,Nam,Sapphire (Kính chống trầy),Automatic (Tự động),2 năm,4 năm – RED Guarantee,42 mm,14.5 mm,Thép không gỉ,Thép không gỉ,Trắng,10 ATM,Lịch ngày – Lịch trăng – Chronograph – Vài chức năng khác,Thụy Sỹ
110,G-Shock,4.276.000,Casio,GA-2000S-1ADR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,51.2 mm x 48.7 mm,14.1 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
111,SR,2.900.000,SR,SL2203.4502,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,32 mm x 32 mm,7 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,Trung Quốc
112,Movado,13.200.000,Movado,3600455,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,42 mm,11 mm,Thép Không Gỉ,Dây Da Chính Hãng,Nâu,3 ATM,,
113,SR,2.450.000,SR,SG1085.1102,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Trung Quốc
114,Citizen,4.200.000,Citizen,EU6094-53A,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,28 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
115,G-Shock,3.208.000,Casio,GBD-800-2DR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,54.1 mm x 48.6 mm,15.5 mm,Nhựa,Dây Cao Su,Trắng,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
116,Casio,1.243.000,Casio,MTP-1314L-8AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,45mm,9mm,,Dây Da Chính Hãng,Đen,5 ATM,Lịch Ngày – Dạ Quang,Trung Quốc
117,Seiko,9.850.000,Seiko,SRPE80K1,Nhật Bản,Nam,Hardlex Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,42.5 mm,13.4 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,10 ATM,Lịch Ngày – Lịch Thứ,
118,G-Shock,8.612.000,Casio,GN-1000-1ADR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,50.5mm × 53.4mm,15.9 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
119,Longines,41.496.000,Longines,L4.960.1.11.7,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,38.5 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
120,SR,2.950.000,SR,SG5521.1302,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,39 mm,6.5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Trung Quốc
121,Orient,7.510.000,Orient,FAC0000DD0,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,40 mm,12 mm,Thép Không Gỉ,Dây Da Chính Hãng,Xanh,3 ATM,Lịch Ngày,Trung Quốc
122,Casio,2.280.000,Casio,MTP-1384D-2AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,41 mm,10 mm,,,Xanh,10 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
123,Seiko,6.470.000,Seiko,SUT236P1,Nhật Bản,Nữ,Hardlex Crystal (Kính Cứng),Solar (Năng Lượng Ánh Sáng),1 Năm,5 Năm,27 mm,8.5 mm,Thép Không Gỉ,Thép Không Gỉ,Vàng,3 ATM,Lịch Ngày,
124,SR,6.450.000,SR,SG60061.1101SM,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,8.8 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày – Lịch Thứ – Lịch Trăng,Trung Quốc
125,Orient,8.600.000,Orient,FAA02002D9,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41 mm,13 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,20 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
126,G-Shock,10.882.000,Casio,GW-9400-1DR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Solar (Năng lượng ánh sáng),5 Năm,,53.5 mm,18.2 mm,Nhựa,Dây Cao Su,Trắng,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
127,Longines,38.532.000,Longines,L4.360.1.11.7,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,,25 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
128,Longines,35.937.500,Longines,L4.821.4.12.6,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,34.5 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Xám,3 ATM,Lịch Ngày,Thụy Sỹ
129,Doxa,135.830.000,Doxa (Phiên bản giới hạn 1000 chiếc toàn thế giới),D154RWH,Thụy Sỹ,Nam,Sapphire (Kính chống trầy),Handwinding (Lên cót bằng tay),2 năm,4 năm – RED Guarantee,40 mm,11.2 mm,Thép không gỉ,Dây da chính hãng,Trắng,3 ATM,,Thụy Sỹ
130,Casio,3.161.000,Casio,MTP-B300D-2AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,40 mm,8.3 mm,,,Xanh,5 ATM,Lịch Ngày – Lịch Thứ – Đồng Hồ 24 Giờ,Trung Quốc
131,Seiko,7.075.000,Seiko,SRPG27K1,Nhật Bản,Nam,Hardlex Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,39.4 mm,13.2 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,10 ATM,Lịch Ngày – Lịch Thứ,
132,Citizen,4.785.000,Citizen,ER0212-50Y,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,30 mm,6.7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,
133,Doxa,16.790.000,Doxa,D203SWH,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm,7.5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Thụy Sỹ
134,G-Shock,4.516.000,Casio,GA-110RF-9ADR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,55 mm,17 mm,Nhựa,Dây Cao Su,Ngũ Sắc,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
135,Tissot,11.550.000,Tissot,T097.410.11.038.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,40 mm,8.64 mm,Thép Không Gỉ,Thép Không Gỉ,Xám,5 ATM,Lịch Ngày,Thụy Sỹ
136,Casio,2.203.000,Casio,MWA-100HD-2AVDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,49.6 mm,13.5 mm,,,Xanh,10 ATM,,Trung Quốc
137,Doxa,36.090.000,Doxa,624.10.022.10,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,42 mm,12 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,
138,Casio,907.000,Casio,MTP-V002D-7BUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,37 mm,9.6 mm,,,Trắng,3 ATM,Lịch Ngày,
139,SR,4.850.000,SR,SG8888.1402AT,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),1 Năm,5 Năm,42 mm,12.5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
140,Orient,7.800.000,Orient,RA-AA0B03L19B,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41.7 mm,12.6 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
141,Michael,6.600.000,Michael Kors,MK7256,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,33 mm,mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Trung Quốc
142,Calvin,6.750.000,Calvin Klein,K6K33146,Thụy Sỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,30 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày – Dạ Quang,Thụy Sỹ
143,Casio,932.000,Casio,MTP-V006D-7BUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,38mm,9.4 mm,,,Trắng,3 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
144,SR,3.150.000,SR,SG9002.1402,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,38 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
145,Longines,35.937.500,Longines,L3.776.4.16.6,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,39 mm,11.7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,30 ATM,Lịch Ngày,Thụy Sỹ
146,SR,3.400.000,SR,SG7332.1402,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,39 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
147,Citizen,13.700.000,Citizen,NK5000-12P,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41 mm,12.9 mm,Thép Không Gỉ,Dây Da Chính Hãng,Vàng Nhạt,5 ATM,,
148,Certina,18.270.000,Certina,C032.430.11.041.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm,11.9 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,10 ATM,Lịch Ngày – Lịch Thứ,
149,Doxa,34.810.000,Doxa,D153SSV,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,31 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Thụy Sỹ
150,Orient,10.400.000,Orient,RA-AR0002B10B,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),1 Năm,5 Năm,41 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,,Trung Quốc
151,Citizen,4.785.000,Citizen,EQ9062-58A,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,34 mm,7.4 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,
152,Doxa,18.870.000,Doxa,D156RSV,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,29 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
153,Casio,1.658.000,Casio,AEQ-120W-1AVDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,52.5 mm,16.8 mm,Nhựa,Dây Cao Su,Đen,10 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
154,Tissot,11.200.000,Tissot,T137.410.11.041.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,40 mm,10.4 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,10 ATM,Lịch Ngày,Thụy Sỹ
155,Claude,8.140.000,Claude Bernard,20202.357JM.DI,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
156,SR,3.100.000,SR,SL2089.4602RNT,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,30 mm,7 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,Trung Quốc
157,Casio,2.203.000,Casio,AQ-S810W-1AVDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Tough Solar (Năng lượng ánh sáng),1 Năm,,46.6 mm,13.8 mm,Nhựa,Dây Cao Su,Đen,10 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
158,Citizen,6.585.000,Citizen,EM0508-80A,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,32 mm,7.3 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Trung Quốc
159,Fossil,3.790.000,Fossil,FS5439,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,12 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Dạ Quang,Trung Quốc
160,Fossil,3.940.000,Fossil,FS5532,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,Trung Quốc
161,Casio,1.243.000,Casio,MTP-1308L-1AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,43.5mm,9.2 mm,,Dây Da Chính Hãng,Đen,5 ATM,Lịch Ngày,Trung Quốc
162,Police,4.580.000,Police,13415LST/04M,Ý,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,30mm,9mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
163,SR,6.250.000,SR,SG60062.4103SM,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,8.8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Xanh,5 ATM,Lịch Ngày – Lịch Thứ – Lịch Trăng,Trung Quốc
164,Daniel,4.940.000,Daniel Wellington,DW00100004,Thụy Điển,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,40 mm,6 mm,Thép Không Gỉ,Dây Vải,Trắng,3 ATM,,Trung Quốc
165,Casio,1.710.000,Casio,MTP-1381D-7AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,39.9mm,8.9 mm,,,Trắng,5 ATM,Lịch Ngày,Trung Quốc
166,Casio,2.228.000,Casio,MCW-100H-9A2VDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,49.3 mm,13 mm,Nhựa,Dây Cao Su,Đen,10 ATM,Lịch Ngày,Trung Quốc
167,OP,4.670.000,Olym Pianus (Olympia Star),58012DMS-T-DP-04,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,38 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,
168,Casio,1.529.000,Casio,AE-1400WHD-1AVDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,48.4 mm,14.4 mm,Nhựa,,Đen,10 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
169,Daniel,4.075.000,Daniel Wellington,DW00100350,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,Trung Quốc
170,Doxa,160.400.000,"Doxa (Phiên bản kỷ niệm 125 năm, giới hạn 300 chiếc trên toàn thế giới)",D181TBU – Giới thiệu chi tiết,Thụy Sỹ,Nam,Sapphire (Kính chống trầy),Automatic (Tự động),2 năm,4 năm – RED Guarantee,42 mm,12.36 mm,Thép không gỉ,Dây da chính hãng,Đen,5 ATM,Lịch ngày – Giờ thế giới,Thụy Sỹ
171,Fossil,8.590.000,Fossil,ME3227,Mỹ,Unisex,Mineral Crystal (Kính Cứng),Automatic (Cơ Tự Động),2 Năm,5 Năm,38 mm,,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
172,Casio,1.710.000,Casio,MTP-1381D-1AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,39.9mm,8.9 mm,,,Đen,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
173,Doxa,78.380.000,Doxa (Phiên Bản Giới Hạn 1000 Chiếc Trên Toàn Thế Giới),D154SWH – Giới Thiệu Chi Tiết,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Handwinding (Lên Cót Bằng Tay),2 Năm,4 Năm – RED Guarantee,39 mm,10 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Thụy Sỹ
174,Tissot,8.230.000,Tissot,T129.410.26.263.00,Thụy Sỹ,Nam,Sapphire (Kính chống trầy),Quartz (Pin),2 năm,4 năm – RED Guarantee,42 mm,8.1 mm,Thép không gỉ,Dây da chính hãng,Vàng nhạt,5 ATM,Lịch ngày,Thụy Sỹ
175,Casio,1.581.000,Casio,AEQ-100W-1AVDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,47.7mm,15.3 mm,,Dây Cao Su,Đen,10 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Vài Chức Năng Khác,Trung Quốc
176,Doxa,71.800.000,Doxa,D183TSV (Nam) – D184TSV (Nữ),Thụy Sỹ,,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm (Nam) – 35 mm (Nữ),11.3 mm (Nam) – 11.3 mm (Nữ),Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày – Lịch Thứ (Nam) – Lịch Ngày (Nữ),Thụy Sỹ
177,Citizen,7.485.000,Citizen,EW2522-51D,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,29.7 mm,7.8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
178,SR,7.850.000,SR,SG18181.1202STAR,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),1 Năm,5 Năm,40 mm,11.5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
179,Casio,1.140.000,Casio,LWS-1200H-7A2VDF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,40.5 mm,12.4 mm,Nhựa,Dây Cao Su,Trắng,10 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Vài Chức Năng Khác,Trung Quốc
180,SR,1.800.000,SR,SG1073.1101TE,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,Trung Quốc
181,Seiko,6.820.000,Seiko,SUT234P1,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Solar (Năng Lượng Ánh Sáng),1 Năm,5 Năm,27 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,
182,Certina,18.390.000,Certina,C035.207.22.087.01,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,31 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,10 ATM,Lịch Ngày,
183,OP,3.630.000,Olym Pianus (Olympia Star),56571DMSK-V,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,38 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Vàng,3 ATM,Lịch Ngày,
184,Daniel,6.468.000,Daniel Wellington,DW00100204,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,36 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,,Trung Quốc
